artist_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,track_name,track_number,album_name,key_name,mode_name,key_mode
Adele,2008-11-17,0.807,0.105,9,-13.188,1,0.0412,0.964,0,0.103,0.372,109.014,4,220506,FALSE,Daydreamer,1,19,A,major,A major
Adele,2008-11-17,0.561,0.316,4,-10.922,0,0.326,0.683,0,0.108,0.617,87.273,4,258506,FALSE,Best For Last,2,19,E,minor,E minor
Adele,2008-11-17,0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,4,210506,FALSE,Chasing Pavements,3,19,F,minor,F minor
Adele,2008-11-17,0.65,0.82,0,-5.344,1,0.047,0.00217,0,0.133,0.35,109.955,4,191866,FALSE,Cold Shoulder,4,19,C,major,C major
Adele,2008-11-17,0.707,0.139,7,-12.3,1,0.0507,0.91,0,0.105,0.323,85.868,3,208040,FALSE,Crazy For You,5,19,G,major,G major
Adele,2008-11-17,0.353,0.388,11,-7.091,0,0.0366,0.346,0,0.215,0.19,80.67,4,203906,FALSE,Melt My Heart To Stone,6,19,B,minor,B minor
Adele,2008-11-17,0.683,0.112,0,-13.461,1,0.0338,0.985,0.00552,0.09,0.337,81.355,4,190280,FALSE,First Love,7,19,C,major,C major
Adele,2008-11-17,0.842,0.679,1,-5.876,1,0.0846,0.773,0,0.0891,0.918,137.2,4,197346,FALSE,Right As Rain,8,19,C#,major,C# major
Adele,2008-11-17,0.317,0.172,10,-10.636,1,0.0326,0.907,3.83e-4,0.105,0.0963,65.18,3,212040,FALSE,Make You Feel My Love,9,19,A#,major,A# major
Adele,2008-11-17,0.776,0.592,4,-7.459,0,0.153,0.482,0,0.15,0.724,126.563,4,195653,FALSE,My Same,10,19,E,minor,E minor
Adele,2008-11-17,0.801,0.663,11,-6.29,1,0.0485,0.181,5.35e-4,0.0945,0.552,96.991,4,258853,FALSE,Tired,11,19,B,major,B major
Adele,2008-11-17,0.436,0.336,10,-8.517,0,0.037,0.962,3.4e-5,0.102,0.21,122.456,4,271226,TRUE,Hometown Glory,12,19,A#,minor,A# minor
Adele,2011-02-22,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4,228093,TRUE,Rolling in the Deep,1,21,G#,major,G# major
Adele,2011-02-22,0.612,0.749,0,-5.014,1,0.0446,0.615,0,0.167,0.574,120.052,4,223266,FALSE,Rumour Has It,2,21,C,major,C major
Adele,2011-02-22,0.353,0.446,0,-6.044,0,0.0285,0.95,1.35e-5,0.132,0.211,155.476,4,250000,FALSE,Turning Tables,3,21,C,minor,C minor
Adele,2011-02-22,0.644,0.4,3,-5.713,1,0.0304,0.214,0,0.0866,0.227,115.025,4,243200,FALSE,Don't You Remember,4,21,D#,major,D# major
Adele,2011-02-22,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-6,0.112,0.446,107.993,4,242973,FALSE,Set Fire to the Rain,5,21,D,minor,D minor
Adele,2011-02-22,0.706,0.57,0,-7.045,0,0.086,0.0225,0,0.0754,0.728,159.908,4,278040,FALSE,He Won't Go,6,21,C,minor,C minor
Adele,2011-02-22,0.415,0.266,0,-8.44,1,0.0308,0.957,1.18e-6,0.183,0.282,138.096,4,228293,FALSE,Take It All,7,21,C,major,C major
Adele,2011-02-22,0.547,0.848,2,-2.684,1,0.0367,0.049,0,0.114,0.749,160.063,4,241351,FALSE,I'll Be Waiting,8,21,D,major,D major
Adele,2011-02-22,0.528,0.468,5,-5.306,1,0.0287,0.295,0,0.165,0.185,154.974,3,348226,FALSE,One And Only,9,21,F,major,F major
Adele,2011-02-22,0.689,0.369,0,-9.407,0,0.0278,0.693,0.00236,0.111,0.361,116.885,4,316240,FALSE,Lovesong,10,21,C,minor,C minor
Adele,2011-02-22,0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4,285240,FALSE,Someone Like You,11,21,A,major,A major
Adele,2015-11-20,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,4,295502,FALSE,Hello,1,25,F,minor,F minor
Adele,2015-11-20,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-6,0.172,0.567,164.069,4,223078,FALSE,Send My Love (To Your New Lover),2,25,F#,minor,F# minor
Adele,2015-11-20,0.382,0.578,5,-4.246,1,0.047,0.00982,1.44e-5,0.433,0.156,113.072,4,348625,FALSE,I Miss You,3,25,F,major,F major
Adele,2015-11-20,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4,290900,FALSE,When We Were Young,4,25,D#,major,D# major
Adele,2015-11-20,0.405,0.3,2,-6.475,1,0.0378,0.894,0,0.154,0.24,162.355,3,245426,FALSE,Remedy,5,25,D,major,D major
Adele,2015-11-20,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-6,0.105,0.538,94.963,4,240439,FALSE,Water Under the Bridge,6,25,F,minor,F minor
Adele,2015-11-20,0.384,0.585,1,-5.588,1,0.0311,0.0591,1.77e-6,0.116,0.252,82.378,4,225426,FALSE,River Lea,7,25,C#,major,C# major
Adele,2015-11-20,0.331,0.341,9,-6.057,0,0.0309,0.528,0,0.109,0.152,109.821,4,285935,FALSE,Love In The Dark,8,25,A,minor,A minor
Adele,2015-11-20,0.72,0.274,1,-7.623,0,0.0276,0.742,0,0.11,0.179,105.929,4,227065,FALSE,Million Years Ago,9,25,C#,minor,C# minor
Adele,2015-11-20,0.591,0.28,4,-5.494,1,0.0283,0.889,0,0.124,0.348,141.916,4,271800,FALSE,All I Ask,10,25,E,major,E major
Adele,2015-11-20,0.416,0.752,0,-5.471,1,0.0396,0.251,0,0.125,0.266,155.89,3,251701,FALSE,Sweetest Devotion,11,25,C,major,C major
Adele,2021-11-19,0.387,0.253,5,-8.901,1,0.0336,0.798,1.59e-4,0.0848,0.134,68.004,5,182163,FALSE,Strangers By Nature,1,30,F,major,F major
Adele,2021-11-19,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4,224694,FALSE,Easy On Me,2,30,F,major,F major
Adele,2021-11-19,0.339,0.492,1,-10.661,1,0.0559,0.829,0.00377,0.147,0.102,151.865,4,389107,FALSE,My Little Love,3,30,C#,major,C# major
Adele,2021-11-19,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-6,0.248,0.59,125.064,4,255278,FALSE,Cry Your Heart Out,4,30,G,major,G major
Adele,2021-11-19,0.534,0.725,1,-3.906,1,0.046,0.091,0,0.0264,0.55,88.098,4,225148,FALSE,Oh My God,5,30,C#,major,C# major
Adele,2021-11-19,0.703,0.68,9,-6.118,0,0.0431,0.0171,0,0.178,0.536,97.985,4,210384,FALSE,Can I Get It,6,30,A,minor,A minor
Adele,2021-11-19,0.437,0.565,10,-5.596,1,0.0466,0.697,0,0.119,0.306,115.389,4,376169,FALSE,I Drink Wine,7,30,A#,major,A# major
Adele,2021-11-19,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-5,0.194,0.307,127.989,3,161829,FALSE,All Night Parking (with Erroll Garner) Interlude,8,30,G#,major,G# major
Adele,2021-11-19,0.594,0.37,4,-10.561,0,0.173,0.749,3.2e-5,0.132,0.329,145.601,4,300247,FALSE,Woman Like Me,9,30,E,minor,E minor
Adele,2021-11-19,0.366,0.364,0,-7.814,1,0.0433,0.858,1.15e-5,0.165,0.459,165.902,4,366004,FALSE,Hold On,10,30,C,major,C major
Adele,2021-11-19,0.356,0.176,8,-8.291,1,0.0391,0.843,0,0.231,0.289,170.425,1,403961,FALSE,To Be Loved,11,30,G#,major,G# major
Adele,2021-11-19,0.269,0.591,10,-5.79,0,0.0416,0.453,6.95e-4,0.0702,0.228,183.793,4,403044,FALSE,Love Is A Game,12,30,A#,minor,A# minor
