artist_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,track_name,track_number,album_name,key_name,mode_name,key_mode
Beyoncé,2022-07-29,0.554,0.535,5,-8.959,0,0.186,0.0616,1.32e-5,0.124,0.136,105.865,4,208014,TRUE,I'M THAT GIRL,1,RENAISSANCE,F,minor,F minor
Beyoncé,2022-07-29,0.556,0.63,7,-8.15,1,0.102,8.28e-4,0.00468,0.155,0.367,149.147,5,210372,TRUE,COZY,2,RENAISSANCE,G,major,G major
Beyoncé,2022-07-29,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-5,0.171,0.464,121.892,4,215459,TRUE,ALIEN SUPERSTAR,3,RENAISSANCE,A#,minor,A# minor
Beyoncé,2022-07-29,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-6,0.0698,0.642,115.042,4,225388,TRUE,CUFF IT,4,RENAISSANCE,G,major,G major
Beyoncé,2022-07-29,0.903,0.519,1,-9.151,1,0.26,0.281,1.06e-4,0.155,0.587,114.991,4,116727,FALSE,ENERGY (feat. Beam),5,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-6,0.27,0.864,114.942,4,278281,FALSE,BREAK MY SOUL,6,RENAISSANCE,C#,minor,C# minor
Beyoncé,2022-07-29,0.792,0.919,2,-5.688,1,0.276,0.0381,5.1e-6,0.368,0.22,92.028,4,224472,TRUE,CHURCH GIRL,7,RENAISSANCE,D,major,D major
Beyoncé,2022-07-29,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-6,0.575,0.305,97.057,4,254319,FALSE,PLASTIC OFF THE SOFA,8,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.683,0.85,11,-5.042,0,0.0699,0.0781,1.09e-6,0.741,0.598,107.988,4,368758,TRUE,VIRGO'S GROOVE,9,RENAISSANCE,B,minor,B minor
Beyoncé,2022-07-29,0.876,0.628,1,-6.595,1,0.0935,0.0165,0.0339,0.0938,0.809,118.028,4,203383,FALSE,MOVE (feat. Grace Jones & Tems),10,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.785,0.732,1,-5.724,1,0.164,0.0636,8.07e-4,0.265,0.496,110.952,4,260769,TRUE,HEATED,11,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.823,0.536,5,-10.123,0,0.319,0.0616,0.0143,0.326,0.537,128.955,4,244792,TRUE,THIQUE,12,RENAISSANCE,F,minor,F minor
Beyoncé,2022-07-29,0.744,0.577,9,-7.228,1,0.0631,0.0672,3.06e-6,0.178,0.0805,135.869,4,169819,TRUE,ALL UP IN YOUR MIND,13,RENAISSANCE,A,major,A major
Beyoncé,2022-07-29,0.789,0.614,1,-6.491,1,0.0579,0.00348,0.00152,0.283,0.108,126.035,4,198897,TRUE,AMERICA HAS A PROBLEM,14,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.857,0.558,1,-7.888,1,0.134,0.0122,4.8e-5,0.288,0.453,123.973,4,288254,TRUE,PURE/HONEY,15,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.674,0.625,1,-9.593,1,0.0514,0.0843,0.0015,0.11,0.208,120.004,4,273997,TRUE,SUMMER RENAISSANCE,16,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.571,0.537,7,-8.93,1,0.246,0.0593,2.06e-5,0.124,0.136,105.994,4,208014,FALSE,I'M THAT GIRL,1,RENAISSANCE,G,major,G major
Beyoncé,2022-07-29,0.843,0.639,0,-8.202,1,0.0624,0.00113,0.00334,0.153,0.398,112.058,4,210372,FALSE,COZY,2,RENAISSANCE,C,major,C major
Beyoncé,2022-07-29,0.546,0.633,1,-6.444,1,0.0793,0.00363,6.98e-5,0.149,0.489,119.777,4,215459,FALSE,ALIEN SUPERSTAR,3,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.745,0.729,4,-5.573,0,0.221,0.0558,0,0.0589,0.629,115.028,4,225388,FALSE,CUFF IT,4,RENAISSANCE,E,minor,E minor
Beyoncé,2022-07-29,0.903,0.519,1,-9.151,1,0.26,0.281,1.06e-4,0.155,0.587,114.991,4,116727,FALSE,ENERGY (feat. Beam),5,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-6,0.27,0.864,114.942,4,278281,FALSE,BREAK MY SOUL,6,RENAISSANCE,C#,minor,C# minor
Beyoncé,2022-07-29,0.773,0.919,2,-5.698,1,0.271,0.0375,3.59e-6,0.367,0.239,92.068,4,224472,FALSE,CHURCH GIRL,7,RENAISSANCE,D,major,D major
Beyoncé,2022-07-29,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-6,0.575,0.305,97.057,4,254319,FALSE,PLASTIC OFF THE SOFA,8,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.679,0.85,11,-5.039,0,0.0481,0.0778,1.05e-6,0.741,0.619,107.988,4,368758,FALSE,VIRGO'S GROOVE,9,RENAISSANCE,B,minor,B minor
Beyoncé,2022-07-29,0.876,0.628,1,-6.595,1,0.0935,0.0165,0.0339,0.0938,0.809,118.028,4,203383,FALSE,MOVE (feat. Grace Jones & Tems),10,RENAISSANCE,C#,major,C# major
Beyoncé,2022-07-29,0.791,0.725,1,-5.733,1,0.161,0.0621,0.00115,0.246,0.484,110.977,4,260769,FALSE,HEATED,11,RENAISSANCE,C#,major,C# major
