CODE,DEGREES
E14000554,0.259089343
E14000569,0.199911237
E14000574,0.229652677
E14000575,0.186731858
E14000641,0.293012754
E14000658,0.219686491
E14000677,0.152710159
E14000709,0.207364116
E14000733,0.175984804
E14000746,0.358756662
E14000754,0.167101536
E14000765,0.196565081
E14000819,0.168592247
E14000820,0.223564516
E14000831,0.266157313
E14000832,0.281174887
E14000833,0.266439634
E14000840,0.201858191
E14000853,0.201579805
E14000856,0.235334351
E14000891,0.1684749
E14000915,0.211826456
E14000944,0.185897813
E14000970,0.181414676
E14000971,0.271249067
E14000982,0.213926837
E14001006,0.305935059
E14001014,0.223933298
E14001020,0.159303826
E14000532,0.403456233
E14000537,0.154254077
E14000543,0.222874937
E14000559,0.1993413
E14000570,0.181323236
E14000571,0.19789107
E14000572,0.176020003
E14000573,0.145934092
E14000578,0.217246771
E14000579,0.163785872
E14000580,0.27344868
E14000581,0.165120407
E14000609,0.187255954
E14000611,0.260835483
E14000612,0.253150234
E14000620,0.209138741
E14000627,0.366554463
E14000637,0.27774033
E14000640,0.337885186
E14000646,0.310131904
E14000647,0.231407166
E14000653,0.241534288
E14000661,0.172887875
E14000686,0.300089924
E14000688,0.236642827
E14000706,0.299921349
E14000708,0.219923075
E14000725,0.173900576
E14000738,0.27908373
E14000747,0.198290048
E14000758,0.195109325
E14000775,0.1427287
E14000776,0.265064685
E14000785,0.201512333
E14000793,0.297295166
E14000794,0.13293213
E14000795,0.26562954
E14000796,0.171757409
E14000802,0.349966337
E14000805,0.193534623
E14000807,0.29738042
E14000808,0.260017789
E14000809,0.450512396
E14000825,0.23569164
E14000870,0.216454148
E14000871,0.163666999
E14000875,0.202339444
E14000877,0.268930306
E14000885,0.193065933
E14000894,0.300344788
E14000897,0.189539336
E14000902,0.248679357
E14000911,0.247079381
E14000916,0.293583603
E14000943,0.274607196
E14000958,0.269872306
E14000962,0.206721133
E14000963,0.203213311
E14000967,0.201324756
E14000969,0.27260566
E14000979,0.255030727
E14000987,0.374319458
E14001010,0.20156045
E14001017,0.227342471
E14001018,0.317015829
E14001024,0.275769632
E14001033,0.251641787
E14001037,0.333248867
E14001039,0.19800905
E14001043,0.307416348
E14001044,0.326095291
E14001053,0.208475124
E14001054,0.202847157
E14001057,0.319687213
E14001059,0.247596757
E14000541,0.171121694
E14000542,0.14792496
E14000548,0.192188439
E14000556,0.273343038
E14000587,0.156582126
E14000588,0.161493863
E14000589,0.196863534
E14000596,0.206361444
E14000614,0.299422241
E14000643,0.189701545
E14000645,0.297989509
E14000666,0.225691068
E14000667,0.181544111
E14000668,0.185067
E14000669,0.143159486
E14000683,0.229313914
E14000689,0.276389772
E14000716,0.145017416
E14000723,0.197565872
E14000724,0.308335815
E14000730,0.347156683
E14000740,0.184157483
E14000756,0.236837674
E14000766,0.267090909
E14000771,0.123390543
E14000772,0.18938067
E14000773,0.160836753
E14000777,0.219345553
E14000778,0.162198594
E14000779,0.406878764
E14000780,0.3331421
E14000781,0.219504811
E14000826,0.22917753
E14000836,0.149747501
E14000876,0.244894571
E14000886,0.324042389
E14000895,0.296559171
E14000903,0.205416964
E14000904,0.143142598
E14000913,0.230492801
E14000914,0.168628712
E14000917,0.277974839
E14000919,0.325991893
E14000920,0.161015583
E14000921,0.154965429
E14000922,0.436236475
E14000923,0.21717822
E14000925,0.316803521
E14000928,0.315389688
E14000993,0.279671702
E14001009,0.204958678
E14001028,0.154963524
E14001061,0.327123493
E14001062,0.320505442
E14000533,0.187250007
E14000535,0.146275281
E14000546,0.198391736
E14000577,0.163240847
E14000582,0.14430221
E14000583,0.236570312
E14000607,0.30283111
E14000625,0.262832883
E14000632,0.216542329
E14000648,0.206558086
E14000660,0.285635468
E14000662,0.268654711
E14000663,0.192618073
E14000664,0.338446321
E14000695,0.188624001
E14000707,0.25192541
E14000710,0.243198899
E14000714,0.248000565
E14000728,0.277365886
E14000748,0.294076543
E14000769,0.232672539
E14000782,0.18285444
E14000783,0.248021851
E14000784,0.199432975
E14000792,0.218851498
E14000797,0.276471155
E14000798,0.197956002
E14000810,0.16358487
E14000814,0.312672435
E14000829,0.279819448
E14000843,0.221990661
E14000858,0.242799277
E14000861,0.21462135
E14000862,0.228325163
E14000865,0.259942835
E14000866,0.132795728
E14000867,0.252881291
E14000908,0.399335411
E14000909,0.299251358
E14000924,0.204559049
E14000929,0.260882881
E14000935,0.259531024
E14000939,0.171350646
E14000940,0.257496957
E14000942,0.317625025
E14001025,0.196604574
E14000531,0.205290905
E14000560,0.324341113
E14000561,0.168329062
E14000562,0.269642237
E14000563,0.120650145
E14000564,0.249074351
E14000565,0.196043097
E14000566,0.191894037
E14000567,0.268600326
E14000568,0.160019713
E14000605,0.30543271
E14000610,0.22040708
E14000618,0.172169006
E14000649,0.193042172
E14000650,0.229320681
E14000651,0.268078773
E14000671,0.169567624
E14000672,0.171755784
E14000722,0.189521885
E14000743,0.251632277
E14000767,0.379957049
E14000791,0.292795856
E14000799,0.283546898
