ons_id,ons_region_id,constituency_name,region_name,country_name,constituency_type,member_first_name,member_surname,member_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ruk,green,snp,pc,dup,sf,sdlp,uup,apni,all_other_candidates,con_pc,lab_pc,ld_pc,ruk_pc,green_pc,snp_pc,pc_pc,dup_pc,sf_pc,sdlp_pc,uup_pc,apni_pc,all_other_candidates_pc
W07000081,W92000004,Aberafan Maesteg,Wales,Wales,County,Stephen,Kinnock,Male,Lab hold,Lab,RUK,72580,35755,79,10354,2903,17838,916,7484,1094,0,4719,0,0,0,0,0,801,8.12,49.89,2.56,20.93,3.06,0,13.2,0,0,0,0,0,2.24
S14000060,S92000003,Aberdeen North,Scotland,Scotland,Burgh,Kirsty,Blackman,Female,SNP hold,SNP,Lab,75925,42095,115,1760,5881,12773,2583,3781,1275,14533,0,0,0,0,0,0,1269,13.97,30.34,6.14,8.98,3.03,34.52,0,0,0,0,0,0,3.01
S14000061,S92000003,Aberdeen South,Scotland,Scotland,Burgh,Stephen,Flynn,Male,SNP hold,SNP,Lab,77328,46345,178,3758,11300,11455,2921,3199,1609,15213,0,0,0,0,0,0,648,24.38,24.72,6.3,6.9,3.47,32.83,0,0,0,0,0,0,1.4
S14000062,S92000003,Aberdeenshire North and Moray East,Scotland,Scotland,County,Seamus,Logan,Male,SNP gain from Con,SNP,Con,70058,38188,170,942,12513,3876,2782,5562,0,13455,0,0,0,0,0,0,0,32.77,10.15,7.29,14.56,0,35.23,0,0,0,0,0,0,0
S14000063,S92000003,Airdrie and Shotts,Scotland,Scotland,County,Kenneth,Stevenson,Male,Lab gain from SNP,Lab,SNP,70199,36666,95,7547,1696,18871,725,2971,0,11324,0,0,0,0,0,0,1079,4.63,51.47,1.98,8.1,0,30.88,0,0,0,0,0,0,2.94
E14001063,E12000008,Aldershot,South East,England,Borough,Alex,Baker,Female,Lab gain from Con,Lab,Con,78553,48544,179,5683,14081,19764,4052,8210,2155,0,0,0,0,0,0,0,282,29.01,40.71,8.35,16.91,4.44,0,0,0,0,0,0,0,0.58
E14001064,E12000005,Aldridge-Brownhills,West Midlands,England,Borough,Wendy,Morton,Female,Con hold,Con,Lab,70268,40912,156,4294,15901,11607,1755,9903,1746,0,0,0,0,0,0,0,0,38.87,28.37,4.29,24.21,4.27,0,0,0,0,0,0,0,0
S14000064,S92000003,Alloa and Grangemouth,Scotland,Scotland,County,Brian,Leishman,Male,Lab gain from SNP,Lab,SNP,70680,41201,74,6122,3127,18039,1151,3804,1421,11917,0,0,0,0,0,0,1742,7.59,43.78,2.79,9.23,3.45,28.92,0,0,0,0,0,0,4.23
E14001065,E12000002,Altrincham and Sale West,North West,England,Borough,Connor,Rand,Male,Lab gain from Con,Lab,Con,74025,51452,184,4174,16624,20798,4727,4961,3699,0,0,0,0,0,0,0,643,32.31,40.42,9.19,9.64,7.19,0,0,0,0,0,0,0,1.25
W07000082,W92000004,Alyn and Deeside,Wales,Wales,County,Mark,Tami,Male,Lab hold,Lab,RUK,75790,43392,135,8794,7892,18395,2065,9601,1926,0,1938,0,0,0,0,0,1575,18.19,42.39,4.76,22.13,4.44,0,4.47,0,0,0,0,0,3.63
