geography,CODE,total,owned,percent_owned
Berwick-upon-Tweed,E14000554,33506,21017,0.627260789
Bishop Auckland,E14000569,39058,25340,0.648778739
Blaydon,E14000574,38768,26678,0.688144862
Blyth Valley,E14000575,36049,23485,0.651474382
City of Durham,E14000641,38131,24678,0.64718995
Darlington,E14000658,40740,25612,0.628669612
Easington,E14000677,36073,23024,0.638261303
Gateshead,E14000709,42712,20384,0.477242929
Hartlepool,E14000733,40434,24194,0.598357818
Hexham,E14000746,32612,23063,0.707193671
Houghton and Sunderland South,E14000754,38228,23632,0.618185623
Jarrow,E14000765,36941,22319,0.604179638
Middlesbrough,E14000819,38546,20407,0.529419395
Middlesbrough South and East Cleveland,E14000820,39976,27008,0.675605363
Newcastle upon Tyne Central,E14000831,38239,16387,0.428541541
Newcastle upon Tyne East,E14000832,39548,16137,0.408035805
Newcastle upon Tyne North,E14000833,39366,25431,0.646014327
North Durham,E14000840,38680,25923,0.670191313
North Tyneside,E14000853,47228,28185,0.596785805
North West Durham,E14000856,41135,28801,0.700158016
Redcar,E14000891,38286,25013,0.653319751
Sedgefield,E14000915,36656,24258,0.661774334
South Shields,E14000944,37900,20867,0.550580475
Stockton North,E14000970,38486,24246,0.629995323
Stockton South,E14000971,40673,29979,0.737073734
Sunderland Central,E14000982,43782,25866,0.590790736
Tynemouth,E14001006,44067,30951,0.702362312
Wansbeck,E14001014,36367,23642,0.650094866
Washington and Sunderland West,E14001020,37748,22068,0.584613754
Altrincham and Sale West,E14000532,39939,29587,0.740804727
Ashton-under-Lyne,E14000537,38928,24280,0.623715577
Barrow and Furness,E14000543,40165,29785,0.74156604
Birkenhead,E14000559,40029,21189,0.529341228
Blackburn,E14000570,40172,24421,0.607910983
Blackley and Broughton,E14000571,45531,16602,0.364630691
Blackpool North and Cleveleys,E14000572,38074,25756,0.676472133
Blackpool South,E14000573,36523,21955,0.601128056
Bolton North East,E14000578,41183,24974,0.606415268
Bolton South East,E14000579,41400,23781,0.57442029
Bolton West,E14000580,40367,29211,0.723635643
Bootle,E14000581,42586,23900,0.561217301
Burnley,E14000609,37550,24408,0.650013316
Bury North,E14000611,36815,26030,0.707048757
Bury South,E14000612,41298,28365,0.686837135
Carlisle,E14000620,38995,26006,0.666906014
Cheadle,E14000627,37565,31450,0.837215493
Chorley,E14000637,40563,30118,0.742499322
City of Chester,E14000640,41003,26079,0.636026632
Congleton,E14000646,39691,31091,0.783326195
Copeland,E14000647,34999,24845,0.709877425
Crewe and Nantwich,E14000653,45340,32168,0.709483899
Denton and Reddish,E14000661,37964,25601,0.674349384
Eddisbury,E14000686,35560,26359,0.741254218
Ellesmere Port and Neston,E14000688,37326,26940,0.721748915
Fylde,E14000706,37288,27534,0.738414503
Garston and Halewood,E14000708,42669,25564,0.599123485
Halton,E14000725,40755,26172,0.642178874
Hazel Grove,E14000738,34098,26285,0.770866326
Heywood and Middleton,E14000747,44919,29161,0.649190766
Hyndburn,E14000758,39260,26535,0.675878757
Knowsley,E14000775,43800,26152,0.597077626
Lancaster and Fleetwood,E14000776,34277,22770,0.664293841
Leigh,E14000785,44748,30349,0.678220256
"Liverpool, Riverside",E14000793,52273,15450,0.295563675
"Liverpool, Walton",E14000794,41041,19326,0.470894959
"Liverpool, Wavertree",E14000795,40221,21201,0.527112702
"Liverpool, West Derby",E14000796,38693,21184,0.54748921
Macclesfield,E14000802,40935,30501,0.745108098
Makerfield,E14000805,40952,30507,0.744945302
Manchester Central,E14000807,56485,15315,0.271133929
"Manchester, Gorton",E14000808,40300,15765,0.391191067
"Manchester, Withington",E14000809,40885,19216,0.470001223
Morecambe and Lunesdale,E14000825,39036,27869,0.713930731
Oldham East and Saddleworth,E14000870,41244,27121,0.657574435
Oldham West and Royton,E14000871,39456,24852,0.62986618
Pendle,E14000875,37348,25580,0.6849095
Penrith and The Border,E14000877,35686,25636,0.718376955
Preston,E14000885,39104,19569,0.500434738
Ribble Valley,E14000894,40823,32106,0.786468412
Rochdale,E14000897,42633,24988,0.586118734
Rossendale and Darwen,E14000902,41320,29325,0.709704743
Salford and Eccles,E14000911,49961,22592,0.45219271
Sefton Central,E14000916,35465,30324,0.85504018
South Ribble,E14000943,40330,31918,0.791420779
Southport,E14000958,39879,28913,0.72501818
St Helens North,E14000962,41540,27957,0.673013962
St Helens South and Whiston,E14000963,43337,28961,0.668274223
Stalybridge and Hyde,E14000967,39576,25430,0.642561148
Stockport,E14000969,37804,23114,0.611416781
Stretford and Urmston,E14000979,40964,26359,0.643467435
Tatton,E14000987,36439,27441,0.753066769
Wallasey,E14001010,39425,25490,0.646544071
Warrington North,E14001017,40394,27310,0.676090508
Warrington South,E14001018,44746,33605,0.751016851
Weaver Vale,E14001024,37146,25916,0.697679427
West Lancashire,E14001033,38731,27523,0.7106194
Westmorland and Lonsdale,E14001037,37611,27120,0.721065646
Wigan,E14001039,44107,27907,0.632711361
Wirral South,E14001043,31022,24496,0.789633164
Wirral West,E14001044,30107,23668,0.786129472
Workington,E14001053,34586,23658,0.684034002
Worsley and Eccles South,E14001054,42957,25958,0.604278697
Wyre and Preston North,E14001057,37620,31403,0.834742158
Wythenshawe and Sale East,E14001059,45987,23567,0.512470916
Barnsley Central,E14000541,37871,23847,0.629690264
Barnsley East,E14000542,39031,24492,0.627501217
Batley and Spen,E14000548,43571,29215,0.670514792
Beverley and Holderness,E14000556,42949,32441,0.755337726
Bradford East,E14000587,40281,23904,0.593431146
Bradford South,E14000588,40818,25830,0.632809055
Bradford West,E14000589,36963,20745,0.561236913
Brigg and Goole,E14000596,36884,26849,0.72793081
Calder Valley,E14000614,45823,31991,0.698142854
Cleethorpes,E14000643,40653,29712,0.730868571
Colne Valley,E14000645,46419,33964,0.731683147
Dewsbury,E14000666,43033,29601,0.687867451
Don Valley,E14000667,40612,28451,0.700556486
Doncaster Central,E14000668,44497,27628,0.620895791
Doncaster North,E14000669,41378,26681,0.644811252
East Yorkshire,E14000683,43945,31439,0.715416999
Elmet and Rothwell,E14000689,42308,32417,0.766214428
Great Grimsby,E14000716,38612,23330,0.604216306
Halifax,E14000723,42798,26990,0.630636946
Haltemprice and Howden,E14000724,36912,30425,0.824257694
Harrogate and Knaresborough,E14000730,44001,31335,0.712142906
Hemsworth,E14000740,40115,26072,0.649931447
