"date","geography","geography code","Rural Urban","Passports Held: All usual residents; measures: Value","Passports Held: No passport; measures: Value","Passports Held: United Kingdom; measures: Value","Passports Held: Republic of Ireland; measures: Value","Passports Held: Other Europe: EU countries; measures: Value","Passports Held: Other Europe: Non EU countries; measures: Value","Passports Held: Africa; measures: Value","Passports Held: Middle East and Asia; measures: Value","Passports Held: North America and the Caribbean; measures: Value","Passports Held: Central America; measures: Value","Passports Held: South America; measures: Value","Passports Held: Antarctica and Oceania; measures: Value","Passports Held: British Overseas Territories; measures: Value"
"2011","Berwick-upon-Tweed","E14000554","Total",75718,16554,57994,167,683,41,76,175,172,0,18,121,1
"2011","Bishop Auckland","E14000569","Total",87143,22068,64148,132,514,38,90,177,101,2,8,77,3
"2011","Blaydon","E14000574","Total",88281,16525,70739,117,505,44,110,281,117,4,9,57,2
"2011","Blyth Valley","E14000575","Total",82174,17260,64179,100,372,49,57,196,84,1,10,45,0
"2011","City of Durham","E14000641","Total",94375,16867,73172,364,1542,213,389,1643,700,13,45,235,12
"2011","Darlington","E14000658","Total",91417,20932,67921,210,1458,58,188,674,189,2,8,91,0
"2011","Easington","E14000677","Total",82769,21871,59985,86,544,40,94,206,43,2,4,38,0
"2011","Gateshead","E14000709","Total",94506,21313,68881,270,2104,221,420,1319,281,8,43,99,10
"2011","Hartlepool","E14000733","Total",92028,23520,67403,128,490,37,137,377,73,2,8,77,0
"2011","Hexham","E14000746","Total",76236,11982,63165,215,501,70,103,227,234,3,24,183,3
"2011","Houghton and Sunderland South","E14000754","Total",87002,19668,66606,76,286,29,85,273,61,1,6,34,0
"2011","Jarrow","E14000765","Total",83260,17116,65333,92,341,32,88,350,67,3,8,44,0
"2011","Middlesbrough","E14000819","Total",93865,22937,65648,283,1745,139,939,2503,66,5,12,38,0
"2011","Middlesbrough South and East Cleveland","E14000820","Total",92826,20107,71797,154,377,56,140,299,82,2,6,89,3
"2011","Newcastle upon Tyne Central","E14000831","Total",93693,18017,62712,422,3228,293,1969,7488,278,24,58,151,4
"2011","Newcastle upon Tyne East","E14000832","Total",95589,15331,72696,845,2392,263,815,3488,410,14,61,292,19
"2011","Newcastle upon Tyne North","E14000833","Total",90895,15373,72307,294,930,137,546,1509,186,11,32,115,7
"2011","North Durham","E14000840","Total",86883,19998,66120,115,391,33,64,220,61,6,10,60,0
"2011","North Tyneside","E14000853","Total",102042,20249,79710,186,843,115,315,660,115,13,22,94,2
"2011","North West Durham","E14000856","Total",92119,21216,69540,151,887,48,87,205,136,4,13,85,0
"2011","Redcar","E14000891","Total",86898,20435,65776,181,295,41,64,133,65,0,13,61,0
"2011","Sedgefield","E14000915","Total",84100,20127,63042,133,518,36,82,176,118,1,5,61,0
"2011","South Shields","E14000944","Total",82294,18716,62018,105,532,55,135,823,79,2,36,58,4
"2011","Stockton North","E14000970","Total",92033,23178,67362,167,516,46,276,558,77,3,8,78,1
"2011","Stockton South","E14000971","Total",99577,16026,81262,228,660,90,258,1177,145,8,34,108,1
"2011","Sunderland Central","E14000982","Total",99885,21392,73954,323,1077,76,639,2393,215,10,35,47,8
"2011","Tynemouth","E14001006","Total",98759,15459,81580,231,770,97,177,515,196,16,24,190,0
"2011","Wansbeck","E14001014","Total",81900,19070,62071,118,337,58,64,217,102,4,12,89,0
"2011","Washington and Sunderland West","E14001020","Total",88619,20175,67547,89,439,51,107,282,51,0,2,36,1
"2011","Altrincham and Sale West","E14000532","Total",96591,9727,82189,1311,1911,154,397,1393,416,16,63,329,5
"2011","Ashton-under-Lyne","E14000537","Total",90484,16182,70428,442,1994,51,374,1226,80,5,22,53,0
"2011","Barrow and Furness","E14000543","Total",88826,19710,67853,147,581,57,86,334,171,2,20,117,1
"2011","Birkenhead","E14000559","Total",88818,20187,66707,441,839,58,152,540,129,2,24,86,1
"2011","Blackburn","E14000570","Total",107246,19465,81419,345,2235,131,376,3879,87,7,22,42,1
"2011","Blackley and Broughton","E14000571","Total",110754,21188,72129,1389,7114,496,3557,5488,651,12,138,108,2
"2011","Blackpool North and Cleveleys","E14000572","Total",83391,18795,62646,350,1024,47,122,476,127,5,14,72,1
"2011","Blackpool South","E14000573","Total",81266,20055,58579,379,1687,61,127,439,117,1,15,60,1
"2011","Bolton North East","E14000578","Total",95288,17476,73345,417,1937,130,526,1691,111,4,30,102,2
"2011","Bolton South East","E14000579","Total",101747,19073,76186,328,2395,196,880,3076,148,2,8,58,4
"2011","Bolton West","E14000580","Total",94523,15444,77083,350,824,66,269,635,160,5,20,131,0
"2011","Bootle","E14000581","Total",98449,20453,76481,407,728,80,150,223,88,4,35,73,0
"2011","Burnley","E14000609","Total",87059,17971,66691,344,916,52,86,1266,71,0,8,115,7
"2011","Bury North","E14000611","Total",87218,14080,69799,538,1433,80,238,1362,146,2,26,87,0
